id,name,description
RWD,Rewind,"Whether you are looking to remember events in your childhood, relive past events, or correct past wrongs, Rewind is the provider for you!"
FTL,FirstTravel,"Technically founded in 8000 BC, FirstTravel specialises in luxury jaunts for people who wish to have an incredible one-of-a-kind experience. Go back in time and see how your ancestors used to dance, or see how the future will unfold."
TMR,Talmeda Research,"Research institute providing VIP customers the chance to go on time-jaunts to raise money for future research and definitely ONLY research. All money goes to research."
CLA,Classica,"You want to have a debate with Plato? Sing songs for Emperor Caligula? Smoke shisha with Cleopatra? Well we can't actually provide you with these experiences, but we can send you to the correct time period and you can make your way from there!"
FLO,Flooture,"Flooture beckons you to leap into the uncharted realms of tomorrow, where time bends to the will of your imagination and the flu is cured. Please note that we do not admit passengers who have caught the flu within the last 5 years."
DIN,DinoJaunt,"We ensure some of the most incredible Dinosaur journeys imaginable! Go forth with our incredible paleontologists into the world of the Mesozoic, and meet your favourite prehistoric characters."
ALS,Almatics,"Almatics offers a unique blend of futuristic adventures, where cutting-edge technology meets the wonders of time travel. Immerse yourself in the possibilities of tomorrow and explore the unknown with Almatics."
CHR,Chrononaut,"Embark on an adventure through the annals of time with Chrononaut. Experience the thrill of exploring distant epochs firsthand, from ancient civilizations to distant futures. Uncover the mysteries of time with Chrononaut."
EVS,Envision,"Step into a world of endless potential, and bring your wildest dreams to life. At Envision, we "
TTL,Time Tarvel,"SpeciaIists in chep, acurate time traveL"